vpn,datetime,website,ip,ttl,time
Singapore,2023-10-08 02:30:22,amazon.sg,15.197.251.41,244,11.745
Singapore,2023-10-08 02:30:22,amazon.sg,15.197.251.41,244,8.638
Singapore,2023-10-08 02:30:22,amazon.sg,15.197.251.41,244,7.367
Singapore,2023-10-08 02:30:22,amazon.sg,15.197.251.41,244,10.296
Singapore,2023-10-08 02:30:25,amazon.co.uk,178.236.7.220,232,189.773
Singapore,2023-10-08 02:30:25,amazon.co.uk,178.236.7.220,232,189.981
Singapore,2023-10-08 02:30:25,amazon.co.uk,178.236.7.220,232,190.725
Singapore,2023-10-08 02:30:25,amazon.co.uk,178.236.7.220,232,193.253
Singapore,2023-10-08 02:30:28,amazon.com,54.239.28.85,230,244.746
Singapore,2023-10-08 02:30:28,amazon.com,54.239.28.85,230,234.996
Singapore,2023-10-08 02:30:28,amazon.com,54.239.28.85,230,230.809
Singapore,2023-10-08 02:30:28,amazon.com,54.239.28.85,230,300.430
Singapore,2023-10-08 02:30:31,lazada.sg,47.246.165.72,93,7.478
Singapore,2023-10-08 02:30:31,lazada.sg,47.246.165.72,93,9.633
Singapore,2023-10-08 02:30:31,lazada.sg,47.246.165.72,93,8.855
Singapore,2023-10-08 02:30:31,lazada.sg,47.246.165.72,93,10.841
Singapore,2023-10-08 02:30:35,lazada.com.my,47.246.167.252,93,7.189
Singapore,2023-10-08 02:30:35,lazada.com.my,47.246.167.252,93,10.676
Singapore,2023-10-08 02:30:35,lazada.com.my,47.246.167.252,93,9.521
Singapore,2023-10-08 02:30:35,lazada.com.my,47.246.167.252,93,9.849
Singapore,2023-10-08 02:30:38,lazada.com.ph,47.246.165.39,93,6.023
Singapore,2023-10-08 02:30:38,lazada.com.ph,47.246.165.39,93,9.314
Singapore,2023-10-08 02:30:38,lazada.com.ph,47.246.165.39,93,8.979
Singapore,2023-10-08 02:30:38,lazada.com.ph,47.246.165.39,93,7.980
Singapore,2023-10-08 02:30:41,lazada.co.id,47.246.159.50,81,190.472
Singapore,2023-10-08 02:30:41,lazada.co.id,47.246.159.50,81,190.547
Singapore,2023-10-08 02:30:41,lazada.co.id,47.246.159.50,81,190.007
Singapore,2023-10-08 02:30:41,lazada.co.id,47.246.159.50,81,193.148
