website,datetime,hop,vpn,ip,speed1,speed2,speed3
amazon.sg,2023-10-08 02:15:31,1,Singapore,192.168.0.1,4.669,4.145,3.686
amazon.sg,2023-10-08 02:15:31,2,Singapore,49.245.0.1,5.689,5.547,5.739
amazon.sg,2023-10-08 02:15:31,3,Singapore,202.65.246.6,5.502,5.343,5.875
amazon.sg,2023-10-08 02:15:31,4,Singapore,202.65.246.5,6.078,5.858,5.443
amazon.sg,2023-10-08 02:15:31,5,Singapore,202.65.246.37,9.914,6.724,6.576
amazon.sg,2023-10-08 02:15:31,6,Singapore,202.65.246.221,6.645,6.456,6.870
amazon.sg,2023-10-08 02:15:31,7,Singapore,99.83.64.152,7.856,6.627,6.740
amazon.co.uk,2023-10-08 02:16:05,1,Singapore,192.168.0.1,4.894,3.506,4.057
amazon.co.uk,2023-10-08 02:16:05,2,Singapore,49.245.0.1,5.961,5.693,5.602
amazon.co.uk,2023-10-08 02:16:05,3,Singapore,202.65.246.254,11.706,6.079,5.744
amazon.co.uk,2023-10-08 02:16:05,4,Singapore,202.65.246.253,6.338,5.092,9.518
amazon.co.uk,2023-10-08 02:16:05,5,Singapore,202.65.246.50,7.271,6.336,6.113
amazon.co.uk,2023-10-08 02:16:05,6,Singapore,213.248.100.86,6.127,6.762,5.907
amazon.co.uk,2023-10-08 02:16:05,7,Singapore,62.115.126.195,156.137,155.940,157.481
amazon.co.uk,2023-10-08 02:16:05,8,Singapore,62.115.114.202,182.886,,
amazon.co.uk,2023-10-08 02:16:05,9,Singapore,62.115.136.219,193.238,,
amazon.co.uk,2023-10-08 02:16:05,9.1,Singapore,62.115.132.229,158.690,,
amazon.co.uk,2023-10-08 02:16:05,9.2,Singapore,62.115.114.89,161.422,,
amazon.co.uk,2023-10-08 02:16:05,10,Singapore,62.115.58.115,184.417,,
amazon.co.uk,2023-10-08 02:16:05,10.1,Singapore,62.115.57.137,160.833,,
amazon.co.uk,2023-10-08 02:16:05,10.2,Singapore,62.115.58.115,171.336,,
amazon.com,2023-10-08 02:16:39,1,Singapore,192.168.0.1,3.899,4.028,3.750
amazon.com,2023-10-08 02:16:39,2,Singapore,49.245.0.1,6.065,5.994,6.457
amazon.com,2023-10-08 02:16:39,3,Singapore,202.65.246.254,5.734,5.983,5.617
amazon.com,2023-10-08 02:16:39,4,Singapore,202.65.246.253,6.295,5.054,4.956
amazon.com,2023-10-08 02:16:39,5,Singapore,202.65.245.151,6.024,,
amazon.com,2023-10-08 02:16:39,5.1,Singapore,202.65.246.50,6.039,9.064,
amazon.com,2023-10-08 02:16:39,6,Singapore,213.248.100.86,6.144,6.516,6.710
amazon.com,2023-10-08 02:16:39,7,Singapore,62.115.143.244,167.406,167.739,168.208
amazon.com,2023-10-08 02:16:39,8,Singapore,62.115.123.136,216.592,198.569,
amazon.com,2023-10-08 02:16:39,9,Singapore,62.115.138.65,197.304,198.212,196.943
amazon.com,2023-10-08 02:16:39,10,Singapore,62.115.61.163,199.728,198.204,198.589
lazada.sg,2023-10-08 02:17:17,1,Singapore,192.168.0.1,3.698,4.070,3.929
lazada.sg,2023-10-08 02:17:17,2,Singapore,49.245.0.1,5.505,6.358,5.956
lazada.sg,2023-10-08 02:17:17,3,Singapore,202.65.246.6,5.811,5.978,6.218
lazada.sg,2023-10-08 02:17:17,4,Singapore,202.65.246.5,7.614,7.093,6.032
lazada.sg,2023-10-08 02:17:17,5,Singapore,202.65.246.37,6.490,6.996,6.254
lazada.sg,2023-10-08 02:17:17,6,Singapore,202.65.246.221,7.224,7.540,
lazada.sg,2023-10-08 02:17:17,6.1,Singapore,202.65.246.134,6.793,,
lazada.sg,2023-10-08 02:17:17,7,Singapore,47.246.117.69,7.983,7.697,7.785
lazada.sg,2023-10-08 02:17:17,8,Singapore,116.251.81.217,8.939,,
lazada.com.my,2023-10-08 02:17:55,1,Singapore,192.168.0.1,6.521,3.295,3.606
lazada.com.my,2023-10-08 02:17:55,2,Singapore,49.245.0.1,5.295,7.541,5.553
lazada.com.my,2023-10-08 02:17:55,3,Singapore,202.65.246.6,5.402,12.801,6.171
lazada.com.my,2023-10-08 02:17:55,4,Singapore,202.65.246.5,5.927,5.972,5.923
lazada.com.my,2023-10-08 02:17:55,5,Singapore,202.65.246.37,6.259,7.016,7.186
lazada.com.my,2023-10-08 02:17:55,6,Singapore,202.65.246.134,21.888,,
lazada.com.my,2023-10-08 02:17:55,6.1,Singapore,202.65.246.221,6.750,6.404,
lazada.com.my,2023-10-08 02:17:55,7,Singapore,47.246.117.69,8.256,7.395,8.603
lazada.com.my,2023-10-08 02:17:55,8,Singapore,116.251.74.201,7.855,,
lazada.com.ph,2023-10-08 02:18:34,1,Singapore,192.168.0.1,3.864,3.854,3.857
lazada.com.ph,2023-10-08 02:18:34,2,Singapore,49.245.0.1,5.895,5.769,5.456
lazada.com.ph,2023-10-08 02:18:34,3,Singapore,202.65.246.6,5.740,5.217,6.186
lazada.com.ph,2023-10-08 02:18:34,4,Singapore,202.65.246.5,5.038,5.472,4.945
lazada.com.ph,2023-10-08 02:18:34,5,Singapore,202.65.246.37,6.605,6.233,6.163
