website,datetime,hop,vpn,ip,speed1,speed2,speed3,inetnum,netname,descr,country,admin-c,tech-c,abuse-c,status,remarks,mnt-by,mnt-lower,mnt-routes,mnt-irt,last-modified,address,e-mail,phone,fax-no,nic-hdl,route,origin
amazon.sg,2023-10-07 23:52:58,1,Singapore,192.168.0.1,11.334,3.372,3.736,192.168.0.0 - 192.168.255.255,,,,,,,assigned,http://www.iana.org/go/rfc1918,,,,,,,,,,,,
amazon.sg,2023-10-07 23:52:58,2,Singapore,49.245.0.1,6.143,5.854,29.131,49.0.0.0 - 49.255.255.255,Mobile-Broadband,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:00Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,49.245.0.0/24,AS4773
amazon.sg,2023-10-07 23:52:58,3,Singapore,202.65.246.178,14.268,5.873,29.324,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
amazon.sg,2023-10-07 23:52:58,4,Singapore,202.65.246.177,6.554,5.633,34.785,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
amazon.sg,2023-10-07 23:52:58,5,Singapore,202.65.246.9,5.369,8.091,9.871,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
amazon.sg,2023-10-07 23:52:58,6,Singapore,202.65.246.37,9.176,6.824,10.027,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
amazon.sg,2023-10-07 23:52:58,7,Singapore,202.65.246.221,7.929,24.454,,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
amazon.sg,2023-10-07 23:52:58,7-1,Singapore,202.65.246.134,6.002,,,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
amazon.sg,2023-10-07 23:52:58,8,Singapore,99.83.64.152,16.485,13.643,11.503,99.0.0.0 - 99.255.255.255,AMAZO-4,,US,,,,ALLOCATED,,,,,,,"Amazon Web Services, Inc.",,+1-206-555-0000,,,,
shopee.sg,2023-10-07 23:52:58,1,Singapore,192.168.0.1,3.892,3.474,3.797,192.168.0.0 - 192.168.255.255,,,,,,,assigned,http://www.iana.org/go/rfc1918,,,,,,,,,,,,
shopee.sg,2023-10-07 23:52:58,2,Singapore,49.245.0.1,5.56,6.051,5.191,49.0.0.0 - 49.255.255.255,Mobile-Broadband,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:00Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,49.245.0.0/24,AS4773
shopee.sg,2023-10-07 23:52:58,3,Singapore,202.65.246.6,5.294,6.753,5.67,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
shopee.sg,2023-10-07 23:52:58,4,Singapore,202.65.246.5,6.163,5.246,6.827,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
shopee.sg,2023-10-07 23:52:58,5,Singapore,202.65.246.37,7.564,13.209,14.383,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
shopee.sg,2023-10-07 23:52:58,6,Singapore,202.65.246.134,6.462,,,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
shopee.sg,2023-10-07 23:52:58,6-1,Singapore,202.65.246.221,6.922,6.336,,202.0.0.0 - 202.255.255.255,M1,M1 Ltd,SG,MH607-AP,MH607-AP,AM2690-AP,ALLOCATED,Spam and Security Issues: vas@m1.com.sg,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,MAINT-AP-MOBILEONE-SG,IRT-MOBILEONELTD-SG,2021-01-18T03:46:42Z,"10 International Business Park,",peering@m1.com.sg,+000000000,+65 66551959,AM2690-AP,,
shopee.sg,2023-10-07 23:52:58,7,Singapore,27.111.229.144,7.668,7.004,9.41,27.0.0.0 - 27.255.255.255,EQUINIX-AP,Equinix Singapore,SG,NARO1-AP,NARO1-AP,AE131-AP,ALLOCATED,--------------------------------------------------------,APNIC-HM,MAINT-AP-9989,MAINT-AP-9989,IRT-EQUINIX-AP,2020-09-10T17:52:14Z,20 Ayer Rajah Crescent,smc_apac@equinix.com,+65-6723-8888,+65-6820-2006,AE131-AP,,
shopee.sg,2023-10-07 23:52:58,8,Singapore,143.92.96.50,10.888,,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:11:18Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.96.0/24,AS137831
shopee.sg,2023-10-07 23:52:58,8-1,Singapore,143.92.96.46,5.756,,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:11:18Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.96.0/24,AS137831
shopee.sg,2023-10-07 23:52:58,8-2,Singapore,143.92.96.50,7.463,,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:11:18Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.96.0/24,AS137831
shopee.sg,2023-10-07 23:52:58,9,Singapore,143.92.108.162,7.732,,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:15:37Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.108.0/24,AS137831
shopee.sg,2023-10-07 23:52:58,9-1,Singapore,143.92.108.160,7.337,7.94,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:15:37Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.108.0/24,AS137831
shopee.sg,2023-10-07 23:52:58,10,Singapore,143.92.108.161,7.807,,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:15:37Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.108.0/24,AS137831
shopee.sg,2023-10-07 23:52:58,10-1,Singapore,143.92.108.191,7.815,,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:15:37Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.108.0/24,AS137831
shopee.sg,2023-10-07 23:52:58,10-2,Singapore,143.92.108.161,7.175,,,143.0.0.0 - 143.255.255.255,APNIC-ERX-143-92-0-0,SHOPEE SINGAPORE PRIVATE LIMITED,AU,SSPL16-AP,SSPL16-AP,AS2394-AP,LEGACY,soc@sea.com was validated on 2023-04-20,MAINT-SHOPEE-SG,,,IRT-SHOPEE-SG,2021-11-24T05:15:37Z,PO Box 3646,noc@sea.com,+61 7 3858 3188,+65-6270-8100,AS2394-AP,143.92.108.0/24,AS137831
lazada.sg,2023-10-07 23:53:38,1,Singapore,192.168.0.1,4.188,3.836,3.324,192.168.0.0 - 192.168.255.255,,,,,,,assigned,http://www.iana.org/go/rfc1918,,,,,,,,,,,,
